date	hour	nb_streamer	nb_spec
22-Oct-11	1	8	85
22-Oct-11	2	13	127
22-Oct-11	3	11	177
22-Oct-11	4	12	176
22-Oct-11	5	12	125
22-Oct-11	6	8	120
22-Oct-11	7	5	157
22-Oct-11	8	2	74
22-Oct-11	9	4	81
22-Oct-11	10	7	114
22-Oct-11	11	3	78
22-Oct-11	12	5	111
22-Oct-11	13	4	105
22-Oct-11	14	8	101
22-Oct-11	15	7	139
22-Oct-11	16	8	133
22-Oct-11	17	10	151
22-Oct-11	18	12	170
22-Oct-11	19	11	182
22-Oct-11	20	16	193
22-Oct-11	21	15	153
22-Oct-11	22	13	146
22-Oct-11	23	12	160
23-Oct-11	0	11	156
23-Oct-11	1	9	157
23-Oct-11	2	11	139
23-Oct-11	3	11	147
23-Oct-11	4	11	211
23-Oct-11	5	11	231
23-Oct-11	6	7	319
23-Oct-11	7	7	322
23-Oct-11	8	4	195
23-Oct-11	9	4	92
23-Oct-11	10	5	154
23-Oct-11	11	7	180
23-Oct-11	12	8	160
23-Oct-11	13	8	156
23-Oct-11	14	8	153
23-Oct-11	15	10	165
23-Oct-11	16	9	206
23-Oct-11	17	11	188
23-Oct-11	18	12	211
23-Oct-11	19	11	232
23-Oct-11	20	17	255
23-Oct-11	21	9	204
23-Oct-11	22	9	173
23-Oct-11	23	7	190
24-Oct-11	0	5	214
24-Oct-11	1	9	130
24-Oct-11	2	12	191
24-Oct-11	3	8	172
24-Oct-11	4	10	164
24-Oct-11	5	10	199
24-Oct-11	6	7	169
24-Oct-11	7	7	169
24-Oct-11	8	6	149
24-Oct-11	9	3	312
24-Oct-11	10	3	148
24-Oct-11	11	3	205
24-Oct-11	12	5	229
24-Oct-11	13	5	300
24-Oct-11	14	8	367
24-Oct-11	15	14	1553
24-Oct-11	16	26	2586
24-Oct-11	17	26	3192
24-Oct-11	18	25	1547
24-Oct-11	19	33	2586
24-Oct-11	20	25	1451
24-Oct-11	21	17	1822
24-Oct-11	22	23	967
24-Oct-11	23	25	855
25-Oct-11	0	24	609
25-Oct-11	1	31	877
25-Oct-11	2	37	1806
