date	hour	nb_streamer	nb_spec
3-Nov-11	20	5	76
3-Nov-11	21	6	87
3-Nov-11	22	7	96
3-Nov-11	23	3	31
4-Nov-11	0	2	24
4-Nov-11	1	3	32
4-Nov-11	2	2	33
4-Nov-11	3	3	10
4-Nov-11	4	4	18
4-Nov-11	5	3	22
4-Nov-11	6	3	30
4-Nov-11	7	3	73
4-Nov-11	8	2	150
4-Nov-11	9	3	233
4-Nov-11	10	3	256
4-Nov-11	11	2	27
4-Nov-11	12	2	28
4-Nov-11	13	2	38
4-Nov-11	14	2	52
4-Nov-11	15	2	37
4-Nov-11	16	2	26
4-Nov-11	17	2	39
4-Nov-11	18	3	75
4-Nov-11	19	4	68
4-Nov-11	20	2	20
4-Nov-11	21	2	19
4-Nov-11	22	4	39
4-Nov-11	23	4	36
5-Nov-11	0	8	68
5-Nov-11	1	5	65
5-Nov-11	2	5	68
5-Nov-11	3	9	99
5-Nov-11	4	7	70
5-Nov-11	5	7	72
5-Nov-11	6	6	49
5-Nov-11	7	5	49
5-Nov-11	8	4	38
5-Nov-11	9	3	24
5-Nov-11	10	3	24
5-Nov-11	11	4	37
5-Nov-11	12	5	49
5-Nov-11	13	4	53
5-Nov-11	14	3	47
5-Nov-11	16	2	30
5-Nov-11	17	4	72
5-Nov-11	18	7	123
5-Nov-11	19	9	170
5-Nov-11	20	7	167
5-Nov-11	21	7	63
5-Nov-11	22	7	71
5-Nov-11	23	7	54
6-Nov-11	0	4	38
6-Nov-11	1	3	27
6-Nov-11	2	5	39
6-Nov-11	3	5	44
6-Nov-11	4	5	49
6-Nov-11	5	6	251
6-Nov-11	6	6	321
6-Nov-11	7	5	66
6-Nov-11	8	3	47
6-Nov-11	9	2	19
6-Nov-11	10	1	26
6-Nov-11	11	2	32
6-Nov-11	12	2	35
6-Nov-11	13	1	6
6-Nov-11	14	1	2
6-Nov-11	16	2	15
6-Nov-11	17	6	34
6-Nov-11	18	6	61
6-Nov-11	19	6	72
6-Nov-11	20	9	62
6-Nov-11	21	5	85
6-Nov-11	22	6	92
6-Nov-11	23	7	92
7-Nov-11	0	6	92
7-Nov-11	1	5	119
7-Nov-11	2	8	155
7-Nov-11	3	11	166
7-Nov-11	4	12	188
7-Nov-11	5	8	112
7-Nov-11	6	8	117
7-Nov-11	7	5	23
7-Nov-11	8	2	2
7-Nov-11	9	2	11
7-Nov-11	10	2	15
7-Nov-11	11	2	16
7-Nov-11	12	1	5
7-Nov-11	15	2	10
7-Nov-11	16	1	6
7-Nov-11	17	1	7
7-Nov-11	18	4	24
7-Nov-11	19	5	47
7-Nov-11	20	6	61
7-Nov-11	21	8	64
7-Nov-11	22	8	81
7-Nov-11	23	8	95
8-Nov-11	0	7	87
8-Nov-11	1	7	91
8-Nov-11	2	4	34
8-Nov-11	3	6	46
8-Nov-11	4	6	29
8-Nov-11	5	6	33
8-Nov-11	6	8	37
8-Nov-11	7	5	33
8-Nov-11	8	6	58
8-Nov-11	9	6	94
8-Nov-11	10	4	175
8-Nov-11	11	3	257
8-Nov-11	12	1	6
8-Nov-11	15	1	0
8-Nov-11	16	3	3
8-Nov-11	17	3	14
8-Nov-11	18	5	19
8-Nov-11	19	4	21
8-Nov-11	20	7	156
8-Nov-11	21	7	60
8-Nov-11	22	7	68
8-Nov-11	23	10	88
9-Nov-11	0	11	103
9-Nov-11	1	10	95
9-Nov-11	2	10	56
9-Nov-11	3	9	66
9-Nov-11	4	8	57
9-Nov-11	5	9	75
9-Nov-11	6	8	109
9-Nov-11	7	9	50
9-Nov-11	8	3	24
9-Nov-11	9	1	13
9-Nov-11	10	4	13
9-Nov-11	11	3	26
9-Nov-11	12	3	23
9-Nov-11	13	3	23
9-Nov-11	14	3	48
9-Nov-11	15	2	72
9-Nov-11	16	3	80
9-Nov-11	17	2	119
9-Nov-11	18	1	33
9-Nov-11	19	2	49
9-Nov-11	20	4	66
9-Nov-11	21	7	91
9-Nov-11	22	7	105
9-Nov-11	23	11	106
10-Nov-11	0	10	99
10-Nov-11	1	13	125
10-Nov-11	2	12	118
10-Nov-11	3	8	121
10-Nov-11	4	11	127
10-Nov-11	5	12	119
10-Nov-11	6	8	59
10-Nov-11	7	11	112
10-Nov-11	8	10	248
10-Nov-11	9	10	227
10-Nov-11	10	10	3819
10-Nov-11	11	6	3980
10-Nov-11	12	7	3938
10-Nov-11	13	6	4202
10-Nov-11	14	6	4631
10-Nov-11	15	8	5268
10-Nov-11	16	10	4822
10-Nov-11	17	13	5236
10-Nov-11	18	19	8068
10-Nov-11	19	14	12325
10-Nov-11	20	14	14838
10-Nov-11	21	20	15594
10-Nov-11	22	27	18607
10-Nov-11	23	23	11489
11-Nov-11	0	25	11710
11-Nov-11	1	28	11419
11-Nov-11	2	52	12315
11-Nov-11	3	68	10048
11-Nov-11	4	46	8762
11-Nov-11	5	45	9842
11-Nov-11	6	53	9184
11-Nov-11	7	178	3653
11-Nov-11	8	233	7251
11-Nov-11	9	228	6537
11-Nov-11	10	212	7252
11-Nov-11	11	169	7157
11-Nov-11	12	150	6200
11-Nov-11	13	123	5951
11-Nov-11	14	108	5082
11-Nov-11	15	106	5204
11-Nov-11	16	133	5164
11-Nov-11	17	133	5849
11-Nov-11	18	230	21263
11-Nov-11	19	173	20603
11-Nov-11	20	202	21269
11-Nov-11	21	201	21504
11-Nov-11	22	204	19796
11-Nov-11	23	206	20607
12-Nov-11	0	216	20437
12-Nov-11	1	216	19638
12-Nov-11	2	211	6185
12-Nov-11	3	186	6494
12-Nov-11	4	187	6690
12-Nov-11	5	179	6086
12-Nov-11	6	159	5420
12-Nov-11	7	147	4331
12-Nov-11	8	121	4508
12-Nov-11	9	103	4066
12-Nov-11	10	88	5401
12-Nov-11	11	82	5321
12-Nov-11	12	79	4954
12-Nov-11	13	89	4767
12-Nov-11	14	105	5837
12-Nov-11	15	116	6763
12-Nov-11	16	123	6259
12-Nov-11	17	149	6312
12-Nov-11	18	157	6837
12-Nov-11	19	158	6412
12-Nov-11	20	171	6994
12-Nov-11	21	185	6972
12-Nov-11	22	196	5964
12-Nov-11	23	197	6572
13-Nov-11	0	181	6619
13-Nov-11	1	192	6854
13-Nov-11	2	175	6680
13-Nov-11	3	157	6238
13-Nov-11	4	167	6663
13-Nov-11	5	157	7487
13-Nov-11	6	149	5624
13-Nov-11	7	138	5554
13-Nov-11	8	126	5944
13-Nov-11	12	62	3439
13-Nov-11	13	82	4374
13-Nov-11	14	90	5809
13-Nov-11	15	91	8330
13-Nov-11	16	113	5327
13-Nov-11	17	127	6290
13-Nov-11	18	132	5118
13-Nov-11	19	155	7088
13-Nov-11	20	162	7369
13-Nov-11	21	166	6699
13-Nov-11	22	167	8091
13-Nov-11	23	157	7292
14-Nov-11	0	151	7637
14-Nov-11	1	165	7039
14-Nov-11	2	157	8388
14-Nov-11	3	150	14016
14-Nov-11	4	141	15482
14-Nov-11	5	140	7484
14-Nov-11	6	119	5288
14-Nov-11	7	95	3474
14-Nov-11	8	77	3664
14-Nov-11	9	67	1998
14-Nov-11	10	59	1707
14-Nov-11	11	49	1800
14-Nov-11	12	43	2076
14-Nov-11	13	44	2708
14-Nov-11	14	51	3437
14-Nov-11	15	61	4033
14-Nov-11	16	70	6912
14-Nov-11	17	84	8903
14-Nov-11	18	95	4846
14-Nov-11	19	110	4818
14-Nov-11	20	127	5729
14-Nov-11	21	136	5909
14-Nov-11	22	147	6435
14-Nov-11	23	157	5808
15-Nov-11	0	142	5951
15-Nov-11	1	140	5506
15-Nov-11	2	136	4568
15-Nov-11	3	150	11983
15-Nov-11	4	132	6188
15-Nov-11	5	125	6083
15-Nov-11	6	104	3643
15-Nov-11	7	86	2131
15-Nov-11	8	80	1718
15-Nov-11	9	61	1592
15-Nov-11	10	54	1559
15-Nov-11	11	55	1552
