date	hour	nb_streamer	nb_spec
28-Oct-11	5	1	3
28-Oct-11	6	1	2
28-Oct-11	7	1	0
28-Oct-11	8	2	4
28-Oct-11	12	1	0
28-Oct-11	13	1	0
28-Oct-11	14	1	0
28-Oct-11	15	1	0
28-Oct-11	20	1	0
28-Oct-11	21	2	2
28-Oct-11	22	2	8
28-Oct-11	23	2	4
29-Oct-11	0	2	5
29-Oct-11	1	2	24
29-Oct-11	2	3	51
29-Oct-11	3	2	5
29-Oct-11	4	1	4
29-Oct-11	5	1	6
29-Oct-11	6	1	8
29-Oct-11	7	1	8
29-Oct-11	8	2	9
29-Oct-11	9	1	1
29-Oct-11	10	1	0
29-Oct-11	12	1	0
29-Oct-11	16	1	4
29-Oct-11	17	2	7
29-Oct-11	18	4	10
29-Oct-11	19	2	19
29-Oct-11	20	3	20
29-Oct-11	21	3	22
29-Oct-11	22	2	4
30-Oct-11	0	2	0
30-Oct-11	1	1	0
30-Oct-11	2	1	0
30-Oct-11	3	2	19
30-Oct-11	4	2	23
30-Oct-11	5	1	3
30-Oct-11	6	2	6
30-Oct-11	7	2	4
30-Oct-11	8	2	6
30-Oct-11	9	1	2
30-Oct-11	12	1	0
30-Oct-11	18	1	0
30-Oct-11	19	2	1
30-Oct-11	20	1	1
30-Oct-11	21	1	2
30-Oct-11	22	1	4
30-Oct-11	23	1	4
31-Oct-11	0	1	0
31-Oct-11	1	1	1
31-Oct-11	2	2	45
31-Oct-11	3	2	77
31-Oct-11	4	2	49
31-Oct-11	5	1	4
31-Oct-11	6	1	4
31-Oct-11	7	1	0
31-Oct-11	9	1	6
31-Oct-11	10	1	8
31-Oct-11	11	1	6
31-Oct-11	12	1	0
31-Oct-11	13	1	0
31-Oct-11	14	1	0
31-Oct-11	16	2	1
31-Oct-11	17	1	0
31-Oct-11	23	3	2
1-Nov-11	0	2	3
1-Nov-11	1	1	3
1-Nov-11	2	3	447
1-Nov-11	3	3	62
1-Nov-11	4	2	3
1-Nov-11	5	2	3
1-Nov-11	6	2	2
1-Nov-11	7	2	4
1-Nov-11	9	1	12
1-Nov-11	11	1	1
1-Nov-11	15	1	26
1-Nov-11	16	1	23
3-Nov-11	15	1	0
3-Nov-11	19	1	25
3-Nov-11	20	1	26
3-Nov-11	21	1	19
3-Nov-11	22	2	22
3-Nov-11	23	3	21
4-Nov-11	0	2	15
4-Nov-11	1	2	9
4-Nov-11	2	1	1
4-Nov-11	3	2	1
4-Nov-11	4	2	0
4-Nov-11	5	2	1
4-Nov-11	6	1	1
4-Nov-11	7	1	2
4-Nov-11	8	1	2
4-Nov-11	17	1	3
4-Nov-11	18	1	5
4-Nov-11	19	1	9
4-Nov-11	20	3	13
4-Nov-11	21	2	14
4-Nov-11	22	2	19
4-Nov-11	23	2	17
5-Nov-11	0	1	7
5-Nov-11	1	1	5
5-Nov-11	3	1	1
5-Nov-11	4	1	0
5-Nov-11	5	1	0
5-Nov-11	6	3	5
5-Nov-11	7	3	0
5-Nov-11	8	2	0
5-Nov-11	17	1	11
5-Nov-11	18	1	15
5-Nov-11	19	1	8
5-Nov-11	20	1	2
5-Nov-11	21	1	2
5-Nov-11	23	2	8
6-Nov-11	0	2	10
6-Nov-11	1	2	9
6-Nov-11	2	2	9
6-Nov-11	3	1	6
6-Nov-11	4	1	1
6-Nov-11	5	2	4
6-Nov-11	6	1	5
6-Nov-11	7	1	3
6-Nov-11	8	2	6
6-Nov-11	9	1	2
6-Nov-11	22	2	3
6-Nov-11	23	1	1
7-Nov-11	3	1	0
7-Nov-11	4	3	36
7-Nov-11	5	3	39
7-Nov-11	6	1	37
7-Nov-11	7	1	0
7-Nov-11	8	2	1
7-Nov-11	9	1	1
7-Nov-11	10	1	1
7-Nov-11	11	2	18
7-Nov-11	12	1	23
7-Nov-11	13	1	46
7-Nov-11	14	1	38
7-Nov-11	17	1	1
7-Nov-11	18	1	1
7-Nov-11	19	1	1
7-Nov-11	21	1	1
7-Nov-11	22	1	26
7-Nov-11	23	1	21
8-Nov-11	2	1	2
8-Nov-11	3	3	7
8-Nov-11	4	2	5
8-Nov-11	5	1	1
8-Nov-11	6	1	1
8-Nov-11	7	1	2
8-Nov-11	8	1	1
8-Nov-11	11	2	2
8-Nov-11	15	1	1
8-Nov-11	16	1	1
8-Nov-11	17	2	44
8-Nov-11	18	2	37
8-Nov-11	19	1	40
8-Nov-11	20	2	48
8-Nov-11	21	4	89
8-Nov-11	22	5	81
8-Nov-11	23	4	65
9-Nov-11	0	3	47
9-Nov-11	1	1	2
9-Nov-11	3	1	6
9-Nov-11	4	1	5
9-Nov-11	5	2	0
9-Nov-11	6	1	0
9-Nov-11	7	2	1
9-Nov-11	8	1	1
9-Nov-11	9	1	1
9-Nov-11	10	2	2
9-Nov-11	11	1	1
9-Nov-11	14	1	1
9-Nov-11	15	2	4
9-Nov-11	16	2	5
9-Nov-11	17	3	1
9-Nov-11	18	3	8
9-Nov-11	19	4	8
9-Nov-11	20	3	8
9-Nov-11	22	2	2
9-Nov-11	23	2	8
10-Nov-11	0	2	8
10-Nov-11	1	1	9
10-Nov-11	2	2	9
10-Nov-11	3	2	8
10-Nov-11	4	2	10
10-Nov-11	5	3	17
10-Nov-11	6	4	18
10-Nov-11	7	2	2
10-Nov-11	8	2	1
10-Nov-11	9	2	2
10-Nov-11	11	1	1
10-Nov-11	12	1	1
10-Nov-11	13	1	1
10-Nov-11	14	1	1
10-Nov-11	15	2	2
10-Nov-11	16	1	2
10-Nov-11	17	1	4
10-Nov-11	18	2	4
10-Nov-11	19	2	3
10-Nov-11	20	1	1
11-Nov-11	1	1	2
11-Nov-11	2	1	2
11-Nov-11	3	1	363
11-Nov-11	4	2	324
11-Nov-11	5	2	486
11-Nov-11	6	3	1352
11-Nov-11	7	3	1512
11-Nov-11	8	2	1144
11-Nov-11	9	1	1
11-Nov-11	11	1	1
11-Nov-11	12	1	0
11-Nov-11	13	1	1
11-Nov-11	14	1	1
11-Nov-11	15	1	0
11-Nov-11	16	1	0
11-Nov-11	17	1	1
11-Nov-11	18	1	2
11-Nov-11	19	3	4
11-Nov-11	20	3	6
11-Nov-11	21	4	11
11-Nov-11	22	4	30
11-Nov-11	23	5	65
12-Nov-11	0	7	22
12-Nov-11	1	4	16
12-Nov-11	2	3	12
12-Nov-11	3	4	15
12-Nov-11	4	2	30
12-Nov-11	5	4	47
12-Nov-11	6	6	57
12-Nov-11	7	4	56
12-Nov-11	8	5	65
12-Nov-11	9	4	101
12-Nov-11	10	1	22
12-Nov-11	14	1	2
12-Nov-11	15	1	5
12-Nov-11	16	1	7
12-Nov-11	17	2	15
12-Nov-11	18	1	4
12-Nov-11	19	2	5
12-Nov-11	20	6	29
12-Nov-11	21	6	47
12-Nov-11	22	4	45
12-Nov-11	23	3	6
13-Nov-11	0	4	30
13-Nov-11	1	3	13
13-Nov-11	2	1	0
13-Nov-11	3	1	4
13-Nov-11	5	1	13
13-Nov-11	6	3	9
13-Nov-11	7	2	8
13-Nov-11	13	1	5
13-Nov-11	14	1	2
13-Nov-11	17	2	8
13-Nov-11	18	1	7
13-Nov-11	22	2	4
13-Nov-11	23	2	9
14-Nov-11	0	4	44
14-Nov-11	1	5	52
14-Nov-11	2	3	41
14-Nov-11	3	2	34
14-Nov-11	4	2	31
14-Nov-11	5	2	5
14-Nov-11	6	1	4
14-Nov-11	12	1	0
14-Nov-11	20	1	4
14-Nov-11	21	2	12
14-Nov-11	22	2	1
14-Nov-11	23	1	2
15-Nov-11	0	1	10
15-Nov-11	1	2	44
15-Nov-11	2	3	1804
15-Nov-11	3	2	2056
15-Nov-11	4	2	2031
15-Nov-11	5	4	1749
15-Nov-11	6	1	21
15-Nov-11	7	1	35
15-Nov-11	8	1	69
15-Nov-11	9	1	43
15-Nov-11	10	1	40
15-Nov-11	11	1	45
15-Nov-11	12	2	44
15-Nov-11	13	2	49
15-Nov-11	14	2	50
15-Nov-11	15	1	49
15-Nov-11	16	1	56
15-Nov-11	17	2	66
15-Nov-11	18	2	60
15-Nov-11	19	4	102
15-Nov-11	20	2	81
15-Nov-11	21	3	66
15-Nov-11	22	3	53
15-Nov-11	23	1	60
16-Nov-11	0	3	48
16-Nov-11	1	2	46
16-Nov-11	6	1	0
16-Nov-11	17	1	0
16-Nov-11	18	1	0
16-Nov-11	20	3	4
16-Nov-11	21	1	71
16-Nov-11	22	1	76
16-Nov-11	23	1	89
17-Nov-11	3	1	26
17-Nov-11	4	2	9
17-Nov-11	5	2	9
17-Nov-11	6	1	2
17-Nov-11	7	1	3
17-Nov-11	8	1	4
17-Nov-11	9	1	1
17-Nov-11	11	1	8
17-Nov-11	12	1	9
17-Nov-11	13	1	1
17-Nov-11	17	3	1
17-Nov-11	18	3	6
17-Nov-11	19	2	4
17-Nov-11	21	1	1
17-Nov-11	23	1	3
18-Nov-11	0	1	1
18-Nov-11	2	1	0
18-Nov-11	3	2	4
18-Nov-11	4	1	6
18-Nov-11	5	1	1
18-Nov-11	8	1	5
18-Nov-11	9	1	5
18-Nov-11	18	2	7
18-Nov-11	19	3	208
18-Nov-11	20	24	1019
18-Nov-11	21	28	1341
18-Nov-11	22	28	1427
18-Nov-11	23	30	1411
19-Nov-11	0	27	1517
19-Nov-11	1	28	1364
19-Nov-11	2	26	1439
19-Nov-11	3	28	1688
19-Nov-11	4	24	1461
19-Nov-11	5	16	1037
19-Nov-11	6	16	1122
19-Nov-11	7	15	1118
19-Nov-11	8	14	814
19-Nov-11	9	13	692
19-Nov-11	10	13	853
19-Nov-11	11	15	949
19-Nov-11	12	17	1209
19-Nov-11	13	18	935
19-Nov-11	14	18	852
19-Nov-11	15	13	745
19-Nov-11	16	11	654
19-Nov-11	17	17	1059
19-Nov-11	18	24	973
19-Nov-11	19	27	1037
19-Nov-11	20	29	1097
19-Nov-11	21	28	3593
19-Nov-11	22	24	3565
19-Nov-11	23	28	3860
20-Nov-11	0	32	4021
20-Nov-11	1	35	3680
20-Nov-11	2	32	4451
20-Nov-11	3	28	3512
20-Nov-11	4	26	3593
20-Nov-11	5	25	1173
20-Nov-11	6	22	994
20-Nov-11	7	20	985
20-Nov-11	8	17	939
20-Nov-11	9	17	1084
20-Nov-11	10	16	1150
20-Nov-11	11	16	1292
20-Nov-11	12	12	1271
20-Nov-11	13	12	828
20-Nov-11	14	16	1069
20-Nov-11	15	14	1453
20-Nov-11	16	18	1560
20-Nov-11	17	18	1840
20-Nov-11	18	17	1638
20-Nov-11	19	22	1785
20-Nov-11	20	24	1978
20-Nov-11	21	24	2190
20-Nov-11	22	24	2140
20-Nov-11	23	35	2027
21-Nov-11	0	34	2144
21-Nov-11	1	28	2210
21-Nov-11	2	27	1764
21-Nov-11	3	29	1881
21-Nov-11	4	30	1593
21-Nov-11	5	27	1480
21-Nov-11	6	21	1054
21-Nov-11	7	24	867
21-Nov-11	8	17	699
21-Nov-11	9	18	624
21-Nov-11	10	15	652
21-Nov-11	11	14	771
21-Nov-11	12	12	788
21-Nov-11	13	11	714
21-Nov-11	14	14	715
